LC,Grade,itemkey,Source,questionkey,correctanswervalue,mostcommonwronganswer,total_students,pct_A,pct_B,pct_C,pct_D,pct_E,pct_F,reportingquestiontypename,pct_G,Question Text,Image Summary,choice_A,DR A,choice_B,DR B,choice_C,DR C,choice_D,DR D,choice_E,DR E,choice_F,DR F,choice_G,DR G,Image Summary (if present),MostCommonDR,Learning_Component_Text
MATH-00359,5,i111952,Interim_eedi,q100746,B,A,15712.0,37.009928716904,44.023676171079,14.568482688391,4.493380855397,,,MULTICHOICE,,Solve. 5 − 2.38 = ?,,2.33,Student subtracted 0.05 from 2.38 instead of 5.00 - 2.38.,2.62,Correct.,3.38,"Student thought that because 5 has 0 tenths and 0 hundredths, they should calculate 0.38 - 0; did not decompose 5 ones as 4 ones, 9 tenths, and 10 hundredths.",3.62,"Student regrouped in the tenths place, but not in the ones place.",,,,,,,,Student subtracted 0.05 from 2.38 instead of 5.00 - 2.38.,"Subtract decimals to the hundredths using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction"
MATH-00359,5,i111960,Interim_eedi,q100535,C,D,16895.0,16.649896419058,10.239715892275,52.382361645457,20.816809707013,,,MULTICHOICE,,Solve. 17.8 - 4.35,,3.43,"Student subtracted as if the numbers were whole numbers; ignored the decimal, subtracted the 1 from the 4, and placed the decimal point to match 4.35.",13.27,Student subtracted the whole numbers (17 - 4 = 13) and the digits following the decimal points (35 - 8 = 27) and made the decimal 13.27.,13.45,Correct.,13.55,"Student did not regroup 8 tenths as 7 tenths and 10 hundredths, OR student thought that because 17.8 has zero hundredths they should calculate 0.05 - 0 in the hundredths place.",,,,,,,,"Student did not regroup 8 tenths as 7 tenths and 10 hundredths, OR student thought that because 17.8 has zero hundredths they should calculate 0.05 - 0 in the hundredths place.","Subtract decimals to the hundredths using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction"
MATH-00359,5,i138316,Interim_eedi,q142778,B,D,37442.0,9.321083275466,60.784680305539,6.570161850328,23.41755248117,,,MULTICHOICE,,Solve. 53.71 - 4 = ?,,13.71,Student left aligned the digits and subtracted 40 instead of 4.,49.71,Correct.,53.31,Student misrepresented 4 units as 4 tenths and subtracted 0.4 instead of 4.,53.67,Student right aligned the digits and subtracted 0.04 instead of 4.,,,,,,,,Student right aligned the digits and subtracted 0.04 instead of 4.,"Subtract decimals to the hundredths using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction"
MATH-00361,5,i185245,Compass,q188139,C,B,219.0,5.47945205479452,19.17808219178082,70.31963470319634,5.0228310502283104,,,MULTICHOICE,,The two large squares below each represent 1 unit. What is the sum of the shaded sections of both squares?,"Two large squares, each representing 1 unit (i.e., 1 whole), subdivided into a 10x10 grid of 100 smaller squares each. The first square has a portion of its grid shaded, and the second square also has a portion shaded. Together the shaded sections of both squares sum to 1.36 units (136 out of 200 smaller squares are shaded across both squares).",0.136,"Student did not regroup properly from the tenths to the ones place, OR student regrouped correctly but did not know how to use place value to correctly place the decimal point.",0.82,"Student did not account for place value when adding, and wrote the answer as hundredths.",1.36,Correct.,6.76,"Student may have mistaken fractional units for whole numbers, leading to an incorrect combination of whole and decimal values.",,,,,,,,"Student did not account for place value when adding, and wrote the answer as hundredths.","Add decimals to the hundredths using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction"
MATH-00361,5,i111974,Interim_eedi,q102791,B,A,16873.0,33.764001659455,52.835891661233,5.902921827772,7.603864161678,,,MULTICHOICE,,"The two large squares below each represent 1 unit. What is the sum, in units, of the shaded sections of both squares?","Two large squares each representing 1 unit are shown side by side with a plus sign between them. The left square is a 10x10 grid with the bottom portion shaded, labeled 0.26 below. The right square is divided into 10 horizontal rows (tenths) with 6 rows fully shaded, labeled 0.6 below.",0.32,"Student lined up all of the numbers on the right-hand side, essentially adding 0.26 and 0.06.",0.86,Correct.,3.2,Student wrote 0.26 as 2.6 and added 2.6 and 0.6.,6.26,Student wrote 0.6 as 6.0 and added 0.26 and 6.0.,,,,,,,,"Student lined up all of the numbers on the right-hand side, essentially adding 0.26 and 0.06.","Add decimals to the hundredths using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction"
MATH-00361,5,i138307,Interim_eedi,q142769,C,B,36915.0,10.602736015169,28.197209806311,55.061628064472,6.287417039143,,,MULTICHOICE,,The two large squares below each represent 1 unit. What is the sum of the shaded sections of both squares?,"Two large squares each representing 1 unit are shown side by side with a plus sign between them. The left square is a 10x10 grid with most rows shaded, labeled 0.76 below. The right square is divided into 10 horizontal rows (tenths) with 6 rows fully shaded, labeled 0.6 below.",0.136,"Student did not regroup properly from the tenths to the ones place, OR student regrouped correctly but did not know how to use place value to correctly place the decimal point.",0.82,"Student ignored place value, added 76 + 6, and wrote the answer as hundredths.",1.36,Correct.,6.76,Student misinterpreted the 6 tenths bars as wholes and added 6 + 0.76.,,,,,,,,"Student ignored place value, added 76 + 6, and wrote the answer as hundredths.","Add decimals to the hundredths using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction"
MATH-00363,5,i185344,Compass,q188271,D,C,131.0,1.5267175572519085,17.557251908396946,26.717557251908396,54.19847328244275,,,MULTICHOICE,,Solve. 8.6 ÷ 0.2 = ?,,0.023,Student reversed the dividend and divisor.,0.43,"Student correctly multiplied both the dividend and divisor by the same power of ten but then mistakenly divided the quotient by 100, misapplying place value reasoning.",4.3,Student treated the divisor as if it were a whole number rather than a decimal.,43,Correct.,,,,,,,,Student treated the divisor as if it were a whole number rather than a decimal.,Divide decimals to the hundredths using concrete models or drawings and strategies based on place value and/or properties of operations
MATH-00363,5,i112470,Interim_eedi,q100336,D,C,1128.0,9.751773049645,24.113475177304,39.18439716312,26.950354609929,,,MULTICHOICE,,Solve. 8.6 divided by 0.2 = ?,,0.023,Student switched the dividend and divisor and rounded the quotient.,0.43,"Student may have thought that because the dividend and divisor were multiplied by 10 to divide, the quotient should be divided by 100; used a strategy to multiply decimals to divide.",4.3,Student divided by 2 instead of 0.2.,43,Correct.,,,,,,,,Student divided by 2 instead of 0.2.,Divide decimals to the hundredths using concrete models or drawings and strategies based on place value and/or properties of operations
MATH-00363,5,i112606,Interim_eedi,q100576,B,A,10738.0,16.315887502328,71.829018439187,5.969454274539,5.969454274539,,,MULTICHOICE,,Solve. 31.5 ÷ 7 = ?,,4.05,"Student placed a zero in the tenths place of the quotient after trying to divide 7 into 3, instead of into 3.5.",4.5,Correct.,4.8,"Student divided the whole numbers, and interpreted the remainder (3) as 0.3 and added it to the existing decimal (0.5).",45,"Student divided correctly but ignored the decimal in the dividend, OR multiplied the dividend by 10 to get the decimal point at the end without multiplying the divisor by 10.",,,,,,,,"Student placed a zero in the tenths place of the quotient after trying to divide 7 into 3, instead of into 3.5.",Divide decimals to the hundredths using concrete models or drawings and strategies based on place value and/or properties of operations
MATH-00376,5,i185704,Compass,q188742,D,B,63.0,17.46031746031746,26.984126984126984,3.1746031746031744,52.38095238095238,,,MULTICHOICE,,What is the value of the expression below? 3/4 × 8,,3/32,Student multiplied the whole number by the denominator instead of the numerator.,24/32,"Student multiplied both the numerator and denominator by the whole number, not realizing this would create an equivalent fraction.",1 8/24,"Student reversed the roles of the numerator and denominator and then incorrectly applied the multiplication, multiplying both parts of the fraction by the whole number.",6,Correct.,,,,,,,,"Student multiplied both the numerator and denominator by the whole number, not realizing this would create an equivalent fraction.",Multiply a fraction or whole number by a fraction
MATH-00376,5,i110168,Interim_eedi,q110210,D,B,20255.0,18.183164650703,29.716119476672,11.073808936065,41.120710935571,,,MULTICHOICE,,What is the value of the expression below? 3/4 x 8,,3/32,Student multiplied the whole number by the denominator instead of the numerator.,24/32,"Student multiplied both the numerator and denominator by the whole number, not realizing this would create a fraction equivalent to 3/4.",1 8/24,Student confused the role of the numerator and denominator; multiplied 4/3 by 8 but multiplied both the numerator and denominator by the whole number.,6,Correct.,,,,,,,,"Student multiplied both the numerator and denominator by the whole number, not realizing this would create a fraction equivalent to 3/4.",Multiply a fraction or whole number by a fraction
MATH-00384,5,i113207,Compass,q102914,C,A,3045.0,26.666666666666,15.008210180623,34.942528735632,23.382594417077,,,MULTICHOICE,,Which expression will result in a product less than 15?,,15 × 3/2,"Student chose an expression that would result in a product that is greater than 15; student may have thought that because 3/2 is a fraction, multiplying it by 15 would result in a value less than 15; may not recognize 3/2 as a value greater than 1.",15 × 4/4,Student chose an expression that would result in a product that is equal to 15; student thought that multiplying a value by n/n would result in a product less than the original value.,15 × 5/6,Correct.,15 × 1 1/3,"Student chose an expression that would result in a product that is greater than 15; may not realize that even though 1/3 is a fraction, multiplying 15 by 1 1/3 would result in a value greater than 15.",,,,,,,,"Student chose an expression that would result in a product that is greater than 15; student may have thought that because 3/2 is a fraction, multiplying it by 15 would result in a value less than 15; may not recognize 3/2 as a value greater than 1.",Interpret multiplication as scaling (resizing) by comparing the size of a product to the size of one factor on the basis of the size of the other factor
MATH-00384,5,i138666,Interim_eedi,q143468,ACE,B,35249.0,76.98090725978,33.436409543533,57.516525291497,23.583647763057,73.380805129223,,MULTISELECT,,"Which three expressions will result in a product greater than 389,274? Select three that apply.",,"389,274 x 7/5",Correct.,"389,274 x 6/6","Student chose an expression that would result in a product equal to 389,274; student thought that multiplying a value by n/n would result in a product greater than the original value.","3/2 x 389,274",Correct.,"2/9 x 389,274","Student chose an expression that would result in a product less than 389,274; student thought that multiplying a value by a proper fraction would result in a product greater than the original value.","389,274 x 1 3/5",Correct.,,,,,,"Student chose an expression that would result in a product equal to 389,274; student thought that multiplying a value by n/n would result in a product greater than the original value.",Interpret multiplication as scaling (resizing) by comparing the size of a product to the size of one factor on the basis of the size of the other factor
MATH-00384,5,i138667,Interim_eedi,q143469,C,D,1472.0,25.951086956521,13.51902173913,30.842391304347,29.6875,,,MULTICHOICE,,Which expression will result in a product less than 24?,,24 x 4/3,Student chose an expression that would result in a product greater than 24; student may not recognize 4/3 as a value greater than 1 and thought that because 4/3 is a fraction multiplying it by 24 would result in a value less than 24.,24 x 5/5,Student chose an expression that would result in a product equal to 24; student thought that multiplying a value by n/n would result in a product less than the original value.,24 x 4/9,Correct.,24 x 1 1/7,Student chose an expression that would result in a product greater than 24; may not realize that even though 1/7 is a fraction multiplying 24 by 1 1/7 would result in a value greater than 24.,,,,,,,,Student chose an expression that would result in a product greater than 24; may not realize that even though 1/7 is a fraction multiplying 24 by 1 1/7 would result in a value greater than 24.,Interpret multiplication as scaling (resizing) by comparing the size of a product to the size of one factor on the basis of the size of the other factor
MATH-00389,5,i185346,Compass,q188273,C,A,147.0,15.646258503401361,11.564625850340136,71.42857142857143,1.3605442176870748,,,MULTICHOICE,,"Marcus uses 5/8 of a liter of water to fill the class fish tanks. He uses 1/3 of this amount to fill the goldfish tank. Which equation shows how much water, in liters, Marcus used to fill the goldfish tank?",,5/8 - 1/3 = 7/24,Student interpreted a problem in which multiplication is necessary as a problem in which subtraction is necessary.,5/8 - 1/3 = 4/5,"Student interpreted a problem in which multiplication is necessary as a problem in which subtraction is necessary, then subtracted the numerators from each other and the denominators from each other.",1/3 × 5/8 = 5/24,Correct.,1/3 × 5/8 = 120/24,"Student found a common denominator before multiplying, then multiplied the numerators and kept the common denominator.",,,,,,,,Student interpreted a problem in which multiplication is necessary as a problem in which subtraction is necessary.,Use equations to represent and solve a real-world fraction or mixed-number multiplication problem
MATH-00389,5,i130301,Interim_eedi,q125894,C,A,1530.0,28.366013071895,20.915032679738,43.790849673202,6.928104575163,,,MULTICHOICE,,"Marcus uses 5/8 of a liter of water to fill the class fish tanks. He uses 1/3 of this amount to fill the goldfish tank. Which equation shows how much water, in liters, Marcus used to fill the goldfish tank?",,5/8 - 1/3 = 7/24,Student interpreted a problem in which multiplication is necessary as a problem in which subtraction is necessary.,5/8 - 1/3 = 4/5,"Student interpreted a problem in which multiplication is necessary as a problem in which subtraction is necessary, then subtracted the numerators from each other and the denominators from each other.",1/3 × 5/8 = 5/24,Correct.,1/3 × 5/8 = 120/24,"Student found a common denominator before multiplying; converted 5/8 to 15/24 and 1/3 to 8/24 and multiplied the numerators, keeping 24 as the denominator.",,,,,,,,Student interpreted a problem in which multiplication is necessary as a problem in which subtraction is necessary.,Use equations to represent and solve a real-world fraction or mixed-number multiplication problem
MATH-00390,5,i185347,Compass,q188274,B,C,145.0,12.413793103448276,12.413793103448276,55.86206896551724,19.310344827586206,,,MULTICHOICE,,Sage is throwing a party to celebrate her sister graduating from law school. She bakes an apple pie for the party. She has 2 3/4 pounds of apples. She uses 1/5 of the apples. How many pounds of apples does Sage use?,,10/20,"Student incorrectly converted a mixed number to an improper fraction by multiplying the whole number by the numerator and then adding the denominator, placing that result as the new numerator.",11/20,Correct.,2 3/20,Student multiplied only the fractional part of the mixed number by the given fraction and then placed the whole number in front of the product.,2 11/20,Student interpreted a situation requiring multiplication as a situation requiring subtraction.,,,,,,,,Student multiplied only the fractional part of the mixed number by the given fraction and then placed the whole number in front of the product.,Solve a real-world problem involving multiplication of fractions and mixed numbers
MATH-00390,5,i112523,Interim_eedi,q102494,A,C,1119.0,17.336907953529,30.83109919571,44.14655942806,7.864164432529,,,MULTICHOICE,,"Micah bought a scarf with an area of 4 1/2 square feet. 2/3 of the scarf is green. How much of the scarf, in square feet, is green?",,3,Correct.,3 5/6,Student confused a context requiring multiplication for a context requiring subtraction.,4 2/6,"Student multiplied the fractions 1/2 and 2/3, then wrote the whole number in the answer.",6 3/4,"Student converted the mixed number to an improper fraction, then cross-multiplied (9 x 3) / (2 x 2), not recognizing an unreasonable answer.",,,,,,,,"Student multiplied the fractions 1/2 and 2/3, then wrote the whole number in the answer.",Solve a real-world problem involving multiplication of fractions and mixed numbers
MATH-00390,5,i115580,Interim_eedi,q102663,A,D,1202.0,68.302828618968,7.986688851913,8.402662229617,15.391014975041,,,MULTICHOICE,,"At the school library, 3/5 of the books are fiction books, and 1/9 of the fiction books have pictures. What fraction of the books at the school library are fiction books that have pictures?",,3/45,Correct.,5/27,Student multiplied the numerator of each fraction by the denominator of the other fraction and placed the smaller product in the numerator of their answer.,4/14,Student interpreted a context requiring multiplication as one requiring addition and added across numerators and denominators instead of finding a common denominator.,22/45,Student interpreted a context requiring multiplication as one requiring subtraction.,,,,,,,,Student interpreted a context requiring multiplication as one requiring subtraction.,Solve a real-world problem involving multiplication of fractions and mixed numbers
MATH-00390,5,i130299,Interim_eedi,q125893,C,B,25810.0,8.333979077876,39.806276636962,32.932971716388,19.101123595505,,,MULTICHOICE,,"Alyse and Milton are each making cookies. Alyse's recipe uses 2 5/6 cups of flour. Milton's recipe uses 1 1/4 as much flour as Alyse's recipe. How much flour, in cups, does Milton's recipe use?",,2 8/30,"Student converted the mixed numbers to improper fractions, then reversed the role of the numerator and denominator of 5/4 and multiplied it by 17/6.",2 5/24,Student multiplied the whole numbers and fractions separately and combined the products.,3 13/24,Correct.,4 2/24,Student interpreted a context requiring multiplication as one requiring addition.,,,,,,,,Student multiplied the whole numbers and fractions separately and combined the products.,Solve a real-world problem involving multiplication of fractions and mixed numbers
MATH-00390,5,i162824,Interim_eedi,q169328,A,D,11549.0,23.049614685254,26.772880768897,17.36081045978,32.955234219412,,,MULTICHOICE,,"In a fifth grade class, 2/3 of the students play basketball. Of the students who play basketball, 1/4 also play an instrument. What fraction of the students in the class play both basketball and an instrument?",,1/6,Correct.,5/12,Student interpreted a context requiring multiplication as one requiring subtraction.,3/8,Student multiplied the numerator of each fraction by the denominator of the other fraction and placed the smaller product in the numerator of their answer.,11/12,Student interpreted a context requiring multiplication as one requiring addition.,,,,,,,,Student interpreted a context requiring multiplication as one requiring addition.,Solve a real-world problem involving multiplication of fractions and mixed numbers
MATH-00390,5,i162825,Interim_eedi,q169329,B,C,17651.0,9.993768058466,28.774573678545,35.799671406719,25.477310067418,,,MULTICHOICE,,Sage has 2 3/4 pounds of apples. She uses 1/5 of the apples. How many pounds of apples does Sage use?,,10/20,"Student incorrectly changed 2 3/4 into the improper fraction 10/4 by multiplying the whole number and the numerator, adding the denominator, and making the result the new numerator.",11/20,Correct.,2 3/20,Student multiplied 3/4 x 1/5 and brought the whole number 2 in front of the product.,2 11/20,Student interpreted a situation requiring multiplication as a situation requiring subtraction.,,,,,,,,Student multiplied 3/4 x 1/5 and brought the whole number 2 in front of the product.,Solve a real-world problem involving multiplication of fractions and mixed numbers
MATH-00390,5,i175342,Interim_eedi,q177951,B,C,11003.0,9.588294101608,29.428337726074,38.762155775697,22.35753885304,,,MULTICHOICE,,Sage is throwing a party to celebrate her sister graduating from law school. She bakes an apple pie for the party. She has 2 3/4 pounds of apples. She uses 1/5 of the apples. How many pounds of apples does Sage use?,,10/20,"Student incorrectly changed 2 3/4 into the improper fraction 10/4 by multiplying the whole number and the numerator, adding the denominator, and making the result the new numerator.",11/20,Correct.,2 3/20,Student multiplied 3/4 x 1/5 and brought the whole number 2 in front of the product.,2 11/20,Student interpreted a situation requiring multiplication as a situation requiring subtraction.,,,,,,,,Student multiplied 3/4 x 1/5 and brought the whole number 2 in front of the product.,Solve a real-world problem involving multiplication of fractions and mixed numbers
MATH-00393,5,i185348,Compass,q188275,A,D,145.0,86.20689655172414,2.7586206896551726,4.827586206896552,6.206896551724138,,,MULTICHOICE,,Which fraction is equal to m in the equation below? 1/4 ÷ 3 = m,,1/12,Correct.,1/4,Student selected the given fraction from the equation rather than performing the operation to find the value of the variable.,3/4,"Student multiplied the fraction by the whole number instead of dividing, possibly thinking the numerator should increase to reflect more parts.",12,"Student attempted to divide a fraction by a whole number but took the reciprocal of the dividend, instead of the divisor, before multiplying.",,,,,,,,"Student attempted to divide a fraction by a whole number but took the reciprocal of the dividend, instead of the divisor, before multiplying.",Compute quotients of a unit fraction and a non-zero whole number
MATH-00393,5,i112016,Interim_eedi,q102410,A,B,3184.0,64.007537688442,18.278894472361,8.040201005025,9.767587939698,,,MULTICHOICE,,What is 1/6 ÷ 3?,,1/18,Correct.,1/2,Student kept the numerator the same and divided only the denominator of the fraction by 3.,2,Student ignored the numerator and divided the denominator (6) by 3.,18,Student divided 3 by 1/6 instead of dividing 1/6 by 3.,,,,,,,,Student kept the numerator the same and divided only the denominator of the fraction by 3.,Compute quotients of a unit fraction and a non-zero whole number
MATH-00393,5,i139059,Interim_eedi,q144248,A,C,1570.0,53.312101910828,10.955414012738,20.191082802547,15.541401273885,,,MULTICHOICE,,Which fraction is equal to m in the equation below? 1/4 ÷ 3 = m,,1/12,Correct.,1/4,Student represented the dividend of the equation.,3/4,"Student multiplied 1/4 by 3 instead of dividing; may have attempted to triple the denominator to represent smaller pieces, but tripled the numerator instead.",12,"Student confused the role of the numerator and denominator of the dividend and multiplied 4/1 by 3 instead of dividing by 3, OR reversed the dividend and divisor and solved 3 ÷ 1/4.",,,,,,,,"Student multiplied 1/4 by 3 instead of dividing; may have attempted to triple the denominator to represent smaller pieces, but tripled the numerator instead.",Compute quotients of a unit fraction and a non-zero whole number
MATH-00393,5,i172809,Interim_eedi,q176709,A,C,478.0,73.849372384937,5.230125523012,11.924686192468,8.995815899581,,,MULTICHOICE,,Which fraction is equal to h in the equation below? 1/5 ÷ 3 = h,,1/15,Correct.,1/3,"Student may have known to multiply by the reciprocal of 3, but selected the divisor of the equation instead of the value of h.",3/5,"Student multiplied 1/5 by 3 instead of dividing; may have attempted to triple the denominator to represent smaller pieces, but tripled the numerator instead.",15,"Student confused the role of the numerator and denominator of the dividend and multiplied 5/1 by 3 instead of dividing by 3, OR reversed the dividend and divisor and solved 3 ÷ 1/5.",,,,,,,,"Student multiplied 1/5 by 3 instead of dividing; may have attempted to triple the denominator to represent smaller pieces, but tripled the numerator instead.",Compute quotients of a unit fraction and a non-zero whole number
MATH-00393,5,i176448,Interim_eedi,q178587,A,C,655.0,57.862595419847,5.954198473282,24.73282442748,11.450381679389,,,MULTICHOICE,,Which of the following is equal to m in the equation below? 1/5 ÷ 2 = m,,1/10,Correct.,1/5,Student represented the dividend of the equation.,2/5,"Student multiplied 1/5 by 2 instead of dividing; may have attempted to double the denominator to represent smaller pieces, but doubled the numerator instead.",10,"Student confused the role of the numerator and denominator of the dividend and multiplied 5/1 by 2 instead of dividing by 2, OR reversed the dividend and divisor and solved 2 ÷ 1/5.",,,,,,,,"Student multiplied 1/5 by 2 instead of dividing; may have attempted to double the denominator to represent smaller pieces, but doubled the numerator instead.",Compute quotients of a unit fraction and a non-zero whole number
MATH-00395,5,i185349,Compass,q188276,D,A,147.0,12.244897959183673,2.7210884353741496,5.442176870748299,79.59183673469387,,,MULTICHOICE,,Solve. 9 ÷ 1/3 = ?,,1/27,Student applied the reciprocal to the dividend instead of the divisor when rewriting the division expression as multiplication.,1/3,"Student applied the reciprocal of both the dividend and the divisor, rather than just the divisor, when rewriting the division expression as multiplication.",3,Student multiplied the whole number by the fraction instead of dividing.,27,Correct.,,,,,,,,Student applied the reciprocal to the dividend instead of the divisor when rewriting the division expression as multiplication.,Compute the quotient of a whole number dividend and a unit fraction divisor
MATH-00395,5,i139062,Interim_eedi,q144254,D,A,38073.0,26.015811730097,9.387229795393,16.365928610826,48.388621858009,,,MULTICHOICE,,Solve. 9 ÷ 1/3 = ?,,1/27,Student reversed the numerator and denominator in the first number instead of the second when changing from division to multiplication.,1/3,"Student reversed the numerator and denominator in both numbers, instead of just the second number, when changing from division to multiplication.",3,Student multiplied 9 x 1/3 instead of dividing.,27,Correct.,,,,,,,,Student reversed the numerator and denominator in the first number instead of the second when changing from division to multiplication.,Compute the quotient of a whole number dividend and a unit fraction divisor
MATH-00395,5,i176449,Interim_eedi,q178588,D,A,657.0,26.940639269406,7.914764079147,21.917808219178,43.226788432267,,,MULTICHOICE,,Solve. 7 ÷ 1/4 = ?,,1/28,Student reversed the numerator and denominator in the first number instead of the second when changing from division to multiplication.,4/7,"Student reversed the numerator and denominator in both numbers, instead of just the second number, when changing from division to multiplication.",7/4,Student multiplied 7 x 1/4 instead of dividing.,28,Correct.,,,,,,,,Student reversed the numerator and denominator in the first number instead of the second when changing from division to multiplication.,Compute the quotient of a whole number dividend and a unit fraction divisor
MATH-00397,5,i185350,Compass,q188277,D,A,147.0,14.965986394557824,4.081632653061225,11.564625850340136,69.38775510204081,,,MULTICHOICE,,Valentina wants to make a set of wooden cutting boards. She has 6 yards of wood and wants to use 1/2 of a yard of wood for each cutting board. How many cutting boards can she build if she uses all of the wood?,,1/12,Student reversed the role of the dividend and the divisor.,1/3,Student took the reciprocal of both numbers when changing from division to multiplication.,3,Student thought the situation required multiplication instead of division.,12,Correct.,,,,,,,,Student reversed the role of the dividend and the divisor.,Solve real-world problems involving division of whole numbers by unit fractions
MATH-00397,5,i112143,Interim_eedi,q103198,D,A,2092.0,30.927342256214,12.476099426386,20.936902485659,35.707456978967,,,MULTICHOICE,,There are 15 boxes of raisins for snack time. A serving size is 1/5 of a box of raisins. How many servings of raisins are there for snack time?,,1/75,Student divided 1/5 by 15 instead of dividing 15 by 1/5.,1/3,Student confused the dividend and divisor and divided 5 by 15 instead of dividing 15 by 1/5.,3,Student multiplied 15 by 1/5 instead of dividing; student confused a context requiring division with one requiring multiplication.,75,Correct.,,,,,,,,Student divided 1/5 by 15 instead of dividing 15 by 1/5.,Solve real-world problems involving division of whole numbers by unit fractions
MATH-00397,5,i139064,Interim_eedi,q144256,D,A,15973.0,30.294872597508,9.159206160395,18.38101796782,42.183684968384,,,MULTICHOICE,,Valentina wants to make a set of wooden cutting boards. She has 6 yards of wood and wants to use 1/2 of a yard of wood for each cutting board. How many cutting boards can she build if she uses all of the wood?,,1/12,Student divided 1/2 by 6; reversed the role of the dividend and the divisor.,1/3,Student took the reciprocal of both numbers when changing from division to multiplication.,3,"Student thought the situation required multiplication, and multiplied 6 by 1/2 instead of dividing.",12,Correct.,,,,,,,,Student divided 1/2 by 6; reversed the role of the dividend and the divisor.,Solve real-world problems involving division of whole numbers by unit fractions
MATH-00397,5,i175341,Interim_eedi,q177950,D,A,13189.0,30.320721813632,7.999090150883,18.098415346121,43.710667980893,,,MULTICHOICE,,"Valentina owns a small business where she makes and sells cutting boards. For her current project, she has 6 yards of wood and wants to use 1/2 of a yard of wood for each cutting board. How many cutting boards can she build if she uses all of the wood?",Image shows an illustration of a person wearing safety goggles and ear protection using a circular saw to cut a piece of wood at a workbench. Tools are visible on a pegboard in the background.,1/12,Student divided 1/2 by 6; reversed the role of the dividend and the divisor.,1/3,Student took the reciprocal of both numbers when changing from division to multiplication.,3,"Student thought the situation required multiplication, and multiplied 6 by 1/2 instead of dividing.",12,Correct.,,,,,,,,Student divided 1/2 by 6; reversed the role of the dividend and the divisor.,Solve real-world problems involving division of whole numbers by unit fractions
MATH-00398,5,i185351,Compass,q188278,A,B,67.0,88.05970149253731,5.970149253731344,,5.970149253731344,,,MULTICHOICE,,"Aniyah has 1/4 of a pint of cat food that she needs to pour equally into 2 bowls. How much cat food, in pints, will be in each bowl?",,1/8,Correct.,1/2,Student thought the situation required multiplication instead of division.,2,Student took the reciprocal of both numbers when rewriting the division expression as multiplication.,8,"Student reversed the dividend and divisor when dividing, OR correctly changed the operation to multiplication but took the reciprocal of the dividend instead of the divisor.",,,,,,,,Student thought the situation required multiplication instead of division.,Solve real-world problems involving division of unit fractions by non-zero whole numbers
MATH-00398,5,i112479,Interim_eedi,q103063,A,C,2119.0,48.843794242567,10.382255781028,26.191599811231,14.629542236904,,,MULTICHOICE,,Susan uses 1/4 of a gallon of wax to make 5 candles. Each candle requires the same amount of wax. How many gallons of wax does Susan use to make each candle?,,1/20,Correct.,4/5,Student divided 4 by 5 instead of dividing 1/4 by 5.,5/4,Student interpreted the context as one requiring multiplication instead of division.,20,Student divided 5 by 1/4 instead of dividing 1/4 by 5.,,,,,,,,Student interpreted the context as one requiring multiplication instead of division.,Solve real-world problems involving division of unit fractions by non-zero whole numbers
MATH-00398,5,i139065,Interim_eedi,q144258,A,B,28441.0,58.83407756408,23.782567420273,7.439963433071,10.059421258042,,,MULTICHOICE,,"Aniyah has 1/4 of a pint of cat food that she needs to pour equally into 2 bowls. How much cat food, in pints, will be in each bowl?",,1/8,Correct.,1/2,Student multiplied instead of dividing 1/4 by 2.,2,Student took the reciprocal of both numbers when changing from division to multiplication.,8,"Student divided 2 by 1/4 instead of dividing 1/4 by 2, OR correctly changed the operation to multiplication, but reversed the numerator and denominator of the first value (1/4) instead of the second.",,,,,,,,Student multiplied instead of dividing 1/4 by 2.,Solve real-world problems involving division of unit fractions by non-zero whole numbers
MATH-00398,5,i178765,Interim_eedi,q180471,D,C,655.0,10.381679389312,8.702290076335,24.885496183206,56.030534351145,,,MULTICHOICE,,"Denise has 1/4 of a gallon of water that she needs to pour equally into 3 glasses. How much water, in gallons, will be in each glass?",,12,"Student divided 3 by 1/4 instead of dividing 1/4 by 3, OR correctly changed the operation to multiplication, but reversed the numerator and denominator of the first value (1/4) instead of the second.",4/3,Student reversed the numerator and denominator of both values when changing 1/4 divided by 3 to multiplication.,3/4,Student multiplied instead of dividing 1/4 by 3.,1/12,Correct.,,,,,,,,Student multiplied instead of dividing 1/4 by 3.,Solve real-world problems involving division of unit fractions by non-zero whole numbers
